Pos: ?{E6POS: X 262.4738, Y -79.42052, Z 937.2399, A 73.82808, B -36.75591, C -34.36188, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 67721
Pos: ?{E6POS: X 360.7237, Y -96.17822, Z 960.6305, A 65.27636, B -34.48176, C -19.73360, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 68712
Pos: ?{E6POS: X 554.1874, Y -129.1758, Z 961.7253, A 52.54614, B -25.87990, C 5.219589, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 69702
Pos: ?{E6POS: X 733.8058, Y -159.8119, Z 884.6890, A 45.29931, B -13.57688, C 26.34983, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 70693
Pos: ?{E6POS: X 867.8215, Y -182.6698, Z 743.1419, A 43.07599, B 1.946477E-01, C 45.12629, S 0, T 6, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 71683
Pos: ?{E6POS: X 936.2103, Y -194.3344, Z 559.5522, A 45.42842, B 13.94543, C 63.93346, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 72671
Pos: ?{E6POS: X 927.3860, Y -192.8293, Z 361.1427, A 52.86534, B 26.22149, C 85.24776, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 73668
Pos: ?{E6POS: X 900.2862, Y -188.2071, Z 282.1884, A 57.66117, B 30.38566, C 95.33559, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 74658
Pos: ?{E6POS: X 786.8892, Y -168.8659, Z 122.2086, A 72.74947, B 36.57719, C 122.2963, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 75646
Pos: ?{E6POS: X 687.5259, Y -151.9183, Z 50.57058, A 83.69968, B 37.11366, C 140.4590, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 76632
Pos: ?{E6POS: X 700.1857, Y -74.23545, Z 50.57058, A 90.10771, B 37.11366, C 140.4590, S 2, T 2, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 77619
Pos: ?{E6POS: X 704.3519, Y 11.55028, Z 51.22547, A 97.05611, B 37.11690, C 140.3897, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 78606
Pos: ?{E6POS: X 759.2103, Y 15.11596, Z 190.2174, A 88.54251, B 36.93540, C 126.2972, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 79600
Pos: ?{E6POS: X 788.4240, Y 17.01480, Z 385.8823, A 77.99017, B 34.20611, C 108.2610, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 80597
Pos: ?{E6POS: X 765.6843, Y 15.53676, Z 585.6019, A 69.19241, B 28.95433, C 91.56525, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 81600
Pos: ?{E6POS: X 693.2378, Y 10.82788, Z 769.6430, A 62.86887, B 21.99027, C 76.95384, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 82597
Pos: ?{E6POS: X 680.8146, Y 22.38996, Z 802.0716, A 60.54877, B 36.48951, C 63.92920, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 83594
Pos: ?{E6POS: X 677.2515, Y 69.92828, Z 799.7645, A -11.14444, B 67.31606, C -32.71029, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 84585
Pos: ?{E6POS: X 674.8619, Y 79.77142, Z 791.2333, A -36.43479, B 59.77699, C -64.35567, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 85588
Pos: ?{E6POS: X 680.7819, Y 38.12083, Z 806.8976, A 52.93034, B 52.27792, C 47.46119, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 86580
Pos: ?{E6POS: X 677.3639, Y -3.593365E-02, Z 778.1411, A 60.17527, B 2.695596, C 86.88982, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 87573
Pos: ?{E6POS: X 667.4241, Y 6.441758, Z 731.7320, A 30.61574, B -39.21321, C 132.7483, S 2, T 3, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 88571
Pos: ?{E6POS: X 661.1268, Y 50.92993, Z 715.1276, A -32.27155, B -33.51451, C -151.6099, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 89560
Pos: ?{E6POS: X 661.0242, Y 58.51393, Z 717.0309, A -38.44118, B -27.65539, C -143.2463, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 90566
Pos: ?{E6POS: X 659.3821, Y 57.55993, Z 715.2371, A -36.47819, B -27.60093, C -145.7021, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 91558
Pos: ?{E6POS: X 641.4268, Y 60.85471, Z 704.3455, A -28.85963, B -15.30651, C -154.1818, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 92564
Pos: ?{E6POS: X 642.7102, Y 60.68021, Z 704.9247, A -29.29064, B -16.15469, C -153.6893, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 93550
Pos: ?{E6POS: X 650.8835, Y 59.36517, Z 709.2791, A -32.38525, B -21.65214, C -150.2051, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 94553
Pos: ?{E6POS: X 630.4686, Y 62.03419, Z 700.4138, A -25.63227, B -8.181681, C -157.9457, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 95543
Pos: ?{E6POS: X 630.4686, Y 62.03419, Z 700.4138, A -25.63227, B -8.181681, C -157.9457, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 96539
Pos: ?{E6POS: X 630.4686, Y 62.03419, Z 700.4138, A -52.16436, B 3.102252, C -156.7428, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 97534
Pos: ?{E6POS: X 630.4686, Y 62.03419, Z 700.4138, A -22.81468, B -9.298055, C -158.3739, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 98523
Pos: ?{E6POS: X 630.4686, Y 62.03419, Z 700.4138, A -12.29668, B -13.18678, C -160.4313, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 99518
Pos: ?{E6POS: X 630.4686, Y 62.03419, Z 700.4138, A -14.16375, B -12.53224, C -160.0157, S 2, T 11, E1 0.0, E2 0.0, E3 0.0, E4 0.0, E5 0.0, E6 0.0}Time: 100518
